Stats	Cluster	Marker	Method	p_val_adj
1.934899204	3: IgA+ plasma B	IGLV2-8	FindMarkers	0.00E+00
1.806680396	3: IgA+ plasma B	IGKV4-1	FindMarkers	0.00E+00
1.766544345	3: IgA+ plasma B	IGKV3-20	FindMarkers	0.00E+00
1.718026409	3: IgA+ plasma B	IGKV3-11	FindMarkers	0.00E+00
1.695389209	3: IgA+ plasma B	IGKV1-5	FindMarkers	0.00E+00
1.665357608	3: IgA+ plasma B	IGLV2-14	FindMarkers	0.00E+00
1.657242572	3: IgA+ plasma B	IGKV3D-20	FindMarkers	0.00E+00
1.430867231	3: IgA+ plasma B	IGKV3-15	FindMarkers	0.00E+00
1.295539309	3: IgA+ plasma B	IGLV6-57	FindMarkers	0.00E+00
1.28524845	3: IgA+ plasma B	IGKV1-9	FindMarkers	0.00E+00
1.248728104	3: IgA+ plasma B	JCHAIN	FindMarkers	0.00E+00
1.010895983	3: IgA+ plasma B	IGLV3-1	FindMarkers	0.00E+00
0.88945396	3: IgA+ plasma B	DERL3	FindMarkers	0.00E+00
0.879194565	3: IgA+ plasma B	SSR4	FindMarkers	0.00E+00
0.855625569	3: IgA+ plasma B	MZB1	FindMarkers	0.00E+00
0.812460701	3: IgA+ plasma B	IGKC	FindMarkers	0.00E+00
0.789750062	3: IgA+ plasma B	IGHA2	FindMarkers	0.00E+00
0.680003019	3: IgA+ plasma B	TNFRSF17	FindMarkers	0.00E+00
0.665065833	3: IgA+ plasma B	IGHA1	FindMarkers	0.00E+00
0.6382801	3: IgA+ plasma B	XBP1	FindMarkers	0.00E+00
0.618520183	3: IgA+ plasma B	PRDX4	FindMarkers	0.00E+00
0.607366956	3: IgA+ plasma B	SEC11C	FindMarkers	0.00E+00
0.584862666	3: IgA+ plasma B	IGLL5	FindMarkers	0.00E+00
0.563438514	3: IgA+ plasma B	HERPUD1	FindMarkers	0.00E+00
0.53973775	3: IgA+ plasma B	HSP90B1	FindMarkers	0.00E+00
0.511585702	3: IgA+ plasma B	IGLC3	FindMarkers	0.00E+00
0.49379274	3: IgA+ plasma B	FKBP11	FindMarkers	0.00E+00
0.479066261	3: IgA+ plasma B	UBE2J1	FindMarkers	0.00E+00
0.469213385	3: IgA+ plasma B	TXNDC5	FindMarkers	0.00E+00
0.417348722	3: IgA+ plasma B	SSR3	FindMarkers	0.00E+00
0.404172194	3: IgA+ plasma B	FKBP2	FindMarkers	0.00E+00
0.401970035	3: IgA+ plasma B	PDIA4	FindMarkers	0.00E+00
0.387141657	3: IgA+ plasma B	IGLC2	FindMarkers	0.00E+00
0.360929242	3: IgA+ plasma B	LINC02362	FindMarkers	0.00E+00
0.3606387	3: IgA+ plasma B	EAF2	FindMarkers	0.00E+00
0.336991822	3: IgA+ plasma B	SDC1	FindMarkers	0.00E+00
0.330345014	3: IgA+ plasma B	SDF2L1	FindMarkers	0.00E+00
0.314623311	3: IgA+ plasma B	ITM2C	FindMarkers	0.00E+00
0.313208312	3: IgA+ plasma B	SPCS2	FindMarkers	0.00E+00
0.304897698	3: IgA+ plasma B	PABPC4	FindMarkers	0.00E+00
0.304165475	3: IgA+ plasma B	IGKV3OR2-268	FindMarkers	0.00E+00
0.28432547	3: IgA+ plasma B	CCR10	FindMarkers	0.00E+00
0.275725	3: IgA+ plasma B	CHPF	FindMarkers	0.00E+00
0.274082407	3: IgA+ plasma B	CRELD2	FindMarkers	0.00E+00
0.271735646	3: IgA+ plasma B	RRBP1	FindMarkers	0.00E+00
0.266732129	3: IgA+ plasma B	PLPP5	FindMarkers	0.00E+00
0.264319034	3: IgA+ plasma B	MANF	FindMarkers	0.00E+00
0.263672921	3: IgA+ plasma B	POU2AF1	FindMarkers	0.00E+00
1.285510601	3: IgA+ plasma B	IGHV3-23	FindMarkers	1.00E-299
4.719344151	4: Mast	TPSAB1	FindMarkers	0.00E+00
4.2687704	4: Mast	TPSB2	FindMarkers	0.00E+00
3.975903518	4: Mast	CPA3	FindMarkers	0.00E+00
2.916325501	4: Mast	CLU	FindMarkers	0.00E+00
2.886253678	4: Mast	HPGDS	FindMarkers	0.00E+00
2.799003561	4: Mast	VWA5A	FindMarkers	0.00E+00
2.738124687	4: Mast	TPSD1	FindMarkers	0.00E+00
2.682389615	4: Mast	HPGD	FindMarkers	0.00E+00
2.51649394	4: Mast	CD9	FindMarkers	0.00E+00
2.497594263	4: Mast	MS4A2	FindMarkers	0.00E+00
2.379564514	4: Mast	GATA2	FindMarkers	0.00E+00
2.333791505	4: Mast	LGALS3	FindMarkers	0.00E+00
2.311423532	4: Mast	LTC4S	FindMarkers	0.00E+00
2.287054456	4: Mast	CTSG	FindMarkers	0.00E+00
2.173817392	4: Mast	GLUL	FindMarkers	0.00E+00
2.146228778	4: Mast	FTH1	FindMarkers	0.00E+00
2.137666353	4: Mast	KIT	FindMarkers	0.00E+00
2.104358297	4: Mast	AC020916.1	FindMarkers	0.00E+00
2.074208988	4: Mast	SLC18A2	FindMarkers	0.00E+00
2.027609617	4: Mast	ANXA1	FindMarkers	0.00E+00
2.021791413	4: Mast	FCER1G	FindMarkers	0.00E+00
2.01526096	4: Mast	HS3ST1	FindMarkers	0.00E+00
2.000849495	4: Mast	S100A6	FindMarkers	0.00E+00
1.969951722	4: Mast	LAPTM4A	FindMarkers	0.00E+00
1.95210881	4: Mast	RHEX	FindMarkers	0.00E+00
1.935108822	4: Mast	SERPINB1	FindMarkers	0.00E+00
1.874662399	4: Mast	BACE2	FindMarkers	0.00E+00
1.829921092	4: Mast	HDC	FindMarkers	0.00E+00
1.778906822	4: Mast	FCER1A	FindMarkers	0.00E+00
1.758164611	4: Mast	VIM	FindMarkers	0.00E+00
1.67780294	4: Mast	CAPG	FindMarkers	0.00E+00
1.653460785	4: Mast	CSF1	FindMarkers	0.00E+00
1.572443859	4: Mast	MALAT1	FindMarkers	0.00E+00
1.559996156	4: Mast	MAOB	FindMarkers	0.00E+00
1.516511613	4: Mast	RAB27B	FindMarkers	0.00E+00
1.514786189	4: Mast	ALOX5	FindMarkers	0.00E+00
1.414144435	4: Mast	RGS13	FindMarkers	0.00E+00
1.412299615	4: Mast	TIMP3	FindMarkers	0.00E+00
1.380736476	4: Mast	IL1RL1	FindMarkers	0.00E+00
1.368249687	4: Mast	RNF130	FindMarkers	0.00E+00
1.361209994	4: Mast	ALOX5AP	FindMarkers	0.00E+00
1.345932155	4: Mast	HSP90AB1	FindMarkers	0.00E+00
1.3368367	4: Mast	ACSL4	FindMarkers	0.00E+00
1.331435843	4: Mast	CAVIN2	FindMarkers	0.00E+00
1.270055233	4: Mast	TYROBP	FindMarkers	0.00E+00
1.247530631	4: Mast	AL157895.1	FindMarkers	0.00E+00
1.215670765	4: Mast	STMN1	FindMarkers	0.00E+00
1.214776168	4: Mast	CNRIP1	FindMarkers	0.00E+00
1.211031113	4: Mast	JUN	FindMarkers	0.00E+00
1.208753729	4: Mast	GALC	FindMarkers	0.00E+00
1.207484912	4: Mast	PTGS1	FindMarkers	0.00E+00
1.176379807	4: Mast	ITM2B	FindMarkers	0.00E+00
1.160655927	4: Mast	MITF	FindMarkers	0.00E+00
1.154805797	4: Mast	CLIC1	FindMarkers	0.00E+00
1.138678095	4: Mast	CST3	FindMarkers	0.00E+00
1.132907142	4: Mast	S100A4	FindMarkers	0.00E+00
1.123857631	4: Mast	H3F3B	FindMarkers	0.00E+00
1.108477436	4: Mast	ADRB2	FindMarkers	0.00E+00
1.08529742	4: Mast	MLPH	FindMarkers	0.00E+00
1.069959563	4: Mast	FOS	FindMarkers	0.00E+00
1.047847457	4: Mast	GCSAML	FindMarkers	0.00E+00
1.040264356	4: Mast	SIGLEC6	FindMarkers	0.00E+00
1.011824033	4: Mast	RAB32	FindMarkers	0.00E+00
0.995813259	4: Mast	IL18	FindMarkers	0.00E+00
0.94081936	4: Mast	RENBP	FindMarkers	0.00E+00
0.91800201	4: Mast	PTMA	FindMarkers	0.00E+00
0.791094852	4: Mast	MT-CO2	FindMarkers	0.00E+00
1.502978721	4: Mast	CD63	FindMarkers	1.26E-301
0.749067143	4: Mast	FAU	FindMarkers	3.56E-298
1.011304786	4: Mast	SRGN	FindMarkers	5.89E-298
1.480310729	4: Mast	IER2	FindMarkers	2.69E-293
0.677013744	4: Mast	RPL11	FindMarkers	2.65E-286
1.760652885	4: Mast	EGR1	FindMarkers	4.04E-285
0.896604171	4: Mast	MT-ND4	FindMarkers	2.66E-276
1.341699207	4: Mast	TNFSF10	FindMarkers	4.08E-262
1.758429951	4: Mast	LMNA	FindMarkers	5.38E-260
0.724876875	4: Mast	RPL5	FindMarkers	3.46E-256
1.112443632	4: Mast	FXYD5	FindMarkers	1.21E-255
1.753377314	4: Mast	NFKBIZ	FindMarkers	7.78E-248
0.960381135	4: Mast	ATP5MC2	FindMarkers	5.76E-243
1.523087493	4: Mast	RBKS	FindMarkers	6.49E-231
1.322429411	4: Mast	ARHGAP18	FindMarkers	3.48E-227
1.205498747	4: Mast	IFITM3	FindMarkers	1.80E-223
1.211548982	4: Mast	NFKBIA	FindMarkers	3.90E-215
1.292923035	4: Mast	TIMP1	FindMarkers	8.04E-201
1.051912678	4: Mast	ATP6V0A2	FindMarkers	3.02E-179
0.871902658	4: Mast	ZEB2	FindMarkers	4.78E-178
0.618340833	4: Mast	RPS13	FindMarkers	1.65E-175
0.89018703	4: Mast	ANXA4	FindMarkers	1.52E-172
0.874081404	4: Mast	UBB	FindMarkers	4.81E-169
0.46994359	4: Mast	MT-ND4L	FindMarkers	3.14E-160
0.374472731	4: Mast	RPL10	FindMarkers	7.51E-156
0.706155568	4: Mast	RPL36AL	FindMarkers	2.06E-150
0.487595636	4: Mast	MT-CYB	FindMarkers	5.59E-147
1.019206766	4: Mast	VAT1	FindMarkers	9.22E-143
0.460306507	4: Mast	RPS24	FindMarkers	4.26E-138
0.497890196	4: Mast	RPL14	FindMarkers	7.06E-138
0.726196473	4: Mast	MT-ND2	FindMarkers	1.02E-136
0.451244484	4: Mast	RPL8	FindMarkers	1.98E-136
1.156708442	4: Mast	SGK1	FindMarkers	2.94E-136
0.43600681	4: Mast	RPL30	FindMarkers	4.38E-125
0.473569153	4: Mast	RPL6	FindMarkers	1.14E-123
0.965464052	4: Mast	BTK	FindMarkers	5.74E-121
0.94554918	4: Mast	FOSB	FindMarkers	4.89E-120
0.430177089	4: Mast	RPL12	FindMarkers	2.13E-116
0.466521105	4: Mast	NACA	FindMarkers	2.05E-115
0.497285692	4: Mast	RPL24	FindMarkers	5.28E-110
0.334819217	4: Mast	MT-CO1	FindMarkers	1.51E-99
1.399591919	4: Mast	LMO4	FindMarkers	7.43E-99
0.316941912	4: Mast	FTL	FindMarkers	1.25E-98
0.627427064	4: Mast	RPS26	FindMarkers	6.37E-98
0.516589238	4: Mast	RPL22	FindMarkers	8.96E-93
0.793461451	4: Mast	ARHGEF6	FindMarkers	2.28E-89
1.015515816	4: Mast	BLVRA	FindMarkers	5.40E-89
0.985614545	4: Mast	RGS10	FindMarkers	1.60E-88
0.946141734	4: Mast	S100A11	FindMarkers	2.16E-88
0.564804295	4: Mast	MYL6	FindMarkers	5.24E-86
0.627240219	4: Mast	H3F3A	FindMarkers	1.56E-81
1.1071767	4: Mast	CD44	FindMarkers	1.13E-80
0.87583339	4: Mast	CD82	FindMarkers	6.79E-78
0.76203114	4: Mast	GABARAP	FindMarkers	9.64E-74
0.316499421	4: Mast	RPL7A	FindMarkers	3.94E-73
0.876308466	4: Mast	PLIN2	FindMarkers	7.08E-73
